season,team1,team2,combine,team1_name,team2_name,team1_conf,team2_conf,team1_win,team1_pyth,team1_adjusto,team1_adjustt,team1_luck,team1_sospyth,team1_sosoppo,team2_win,team2_pyth,team2_adjusto,team2_adjustt,team2_luck,team2_sospyth,team2_sosoppo,team1_loss,team1_adjustd,team1_seed,team2_loss,team2_adjustd,team2_seed,glm.step,rf,xgb,nn,ens.nn,net.result2
2017,1343,1413,2017_1343_1413,Princeton,UC Davis,Ivy,BW,0.285714286,0.44644274,0.401486989,0.321678322,0.478021978,0.409281095,0.384615385,0.285714286,0,0,0.678321678,0.93956044,0.230886269,0.160839161,0.333333333,0.38247012,0.733333333,0.733333333,0.625498008,1,0.185598535,0.5434,0.176789626,0.114837999,3.50E-08,0
2017,1124,1139,2017_1124_1139,Baylor,Butler,B12,BE,0.5,0.788151283,0.724907063,0.293706294,0.351648352,0.954355268,0.944055944,0.357142857,0.680507802,0.747211896,0.454545455,0.335164835,0.877139597,0.895104895,0.4,0.211155378,0.133333333,0.466666667,0.402390438,0.2,0.882212717,0.4113,0.827326536,0.966826069,0.938597859,1
2017,1257,1452,2017_1257_1452,Louisville,West Virginia,ACC,B12,0.428571429,0.832583972,0.713754647,0.636363636,0.28021978,0.931152529,0.993006993,0.571428571,0.835228775,0.691449814,0.769230769,0.104395604,0.83910232,0.804195804,0.466666667,0.135458167,0.066666667,0.466666667,0.107569721,0.2,0.196012263,0.3861,0.604082704,5.04E-05,1.64E-05,0
2017,1124,1314,2017_1124_1314,Baylor,North Carolina,B12,ACC,0.5,0.788151283,0.724907063,0.293706294,0.351648352,0.954355268,0.944055944,0.642857143,0.867495372,0.899628253,0.825174825,0.373626374,0.930011411,0.972027972,0.4,0.211155378,0.133333333,0.4,0.282868526,0,0.107435174,0.3069,0.245124459,5.03E-05,5.20E-09,0
2017,1211,1309,2017_1211_1309,Gonzaga,New Orleans,WCC,Slnd,1,1,0.847583643,0.783216783,0.428571429,0.490300494,0.496503497,0.142857143,0.112668606,0.111524164,0.51048951,0.697802198,0.2681628,0.321678322,0,0.027888446,0,0.666666667,0.573705179,1,0.999830007,0.819966667,0.976745665,0.966826996,0.938887824,1
2017,1190,1199,2017_1190_1199,East Tennessee St.,Florida St.,SC,ACC,0.642857143,0.430044962,0.375464684,0.783216783,0.351648352,0.414225941,0.531468531,0.5,0.727585295,0.70260223,0.832167832,0.467032967,0.836059338,0.916083916,0.4,0.38247012,0.8,0.466666667,0.278884462,0.133333333,0.115056119,0.267766667,0.007929182,0.208854909,0.068355175,0
2017,1166,1321,2017_1166_1321,Creighton,Northwestern,BE,B10,0.5,0.645596403,0.661710037,0.839160839,0.39010989,0.810954736,0.874125874,0.357142857,0.537688442,0.498141264,0.440559441,0.456043956,0.763027767,0.755244755,0.533333333,0.358565737,0.333333333,0.666666667,0.346613546,0.466666667,0.479821527,0.649433333,0.972732186,0.9668269,0.929393923,1
2017,1413,1436,2017_1413_1436,UC Davis,Vermont,BW,AE,0.285714286,0,0,0.678321678,0.93956044,0.230886269,0.160839161,0.785714286,0.440888654,0.483271375,0.384615385,0.67032967,0.287942183,0.342657343,0.733333333,0.625498008,1,0.266666667,0.478087649,0.8,0.050977318,0.367466667,0.156592712,0.20238007,4.83E-09,0
2017,1190,1413,2017_1190_1413,East Tennessee St.,UC Davis,SC,BW,0.642857143,0.430044962,0.375464684,0.783216783,0.351648352,0.414225941,0.531468531,0.285714286,0,0,0.678321678,0.93956044,0.230886269,0.160839161,0.4,0.38247012,0.8,0.733333333,0.625498008,1,0.957677322,0.691433333,0.277549446,0.966826996,0.936079637,1
2017,1291,1348,2017_1291_1348,Mount St. Mary's,Rhode Island,NEC,A10,0.071428571,0.014281936,0.040892193,0.559440559,0.67032967,0.266260936,0.265734266,0.357142857,0.529754033,0.453531599,0.531468531,0.181318681,0.593761887,0.587412587,0.933333333,0.645418327,1,0.533333333,0.310756972,0.666666667,0.066059331,0.4224,0.115933463,0.0471714,8.37E-07,0
